tri_facility.TRI_FACILITY_ID,tri_facility.FACILITY_NAME,tri_facility.STREET_ADDRESS,tri_facility.CITY_NAME,tri_facility.COUNTY_NAME,tri_facility.STATE_ABBR,tri_facility.ZIP_CODE,tri_facility.PREF_LATITUDE,tri_facility.PREF_LONGITUDE
92507CDDCK3127C,CADDOCK ELECTRONICS INC,3127 CHICAGO AVE,RIVERSIDE,RIVERSIDE,CA,92507,,
46517VLMNT57843,VALMONT INDUSTRIES INC,57843 CHARLOTTE AVE,ELKHART,ELKHART,IN,46517,,
40475MRCNT2000E,INTERTAPE POLYMER GROUP,2000 ENTERPRISE DR,RICHMOND,MADISON,KY,40475,,
77562STHWS18310,SOUTHWEST SHIPYARD LP,18310 MARKET ST,CHANNELVIEW,HARRIS,TX,77530,29.791667,95.063889
90509LLDSG2525W,HONEYWELL INTERNATIONAL INC,2525 W 190TH ST,TORRANCE,LOS ANGELES,CA,90504,33.8581,118.320005
85737RRSRC11100,HONEYWELL INTERNATIONAL INC,11100 N ORACLE RD,TUCSON,PIMA,AZ,85737,32.405556,110.941667
44117RFLFR23555,TECT,23555 EUCLID AVE,EUCLID,CUYAHOGA,OH,44117,41.575,81.520833
16505MFXNC3017W,MAFIX INC,3017 W 15TH ST,ERIE,ERIE,PA,165053927,42.096147,80.14646
82716KFXFL3574G,KFX PLANT #2,3574 GARNER LAKE RD,GILLETTE,CAMPBELL,WY,82717,,
28638KNCDFPOBOX,KINCAID FURNITURE CO PLANT 1HUDSON,168 MAIN STREET-HUDSON,HUDSON,CALDWELL,NC,28638,35.858333,81.508333
28638KNCDF168MA,KINCAID FURNITURE CO PLANT 6,348 SHASTA LN,LENOIR,CALDWELL,NC,286450605,35.858333,81.508333
28645KNCDFROCKY,KINCAID FURNITURE CO PLANT 8,HWY 18 & ROCKY RD GAMEWELL,LENOIR,CALDWELL,NC,28645,35.863333,81.595556
49252YKNMN900AN,YUKON MANUFACTURING INC,900 ANDERSON RD,LITCHFIELD,HILLSDALE,MI,49252,,
07001TRMTR36MIL,PRIDE SOLVENTS & CHEMICAL CO OF NJ,36 MILEED WAY,AVENEL,MIDDLESEX,NJ,7001,,
65024CHMSPSTATE,CHAMOIS POWER PLANT,9321 HWY 100,CHAMOIS,OSAGE,MO,65024,,
51501CNCLB2115N,MIDAMERICAN ENERGY CO WALTER SCOTT JR ENERGY CENTER,7215 NAVAJO,COUNCIL BLUFFS,POTTAWATTAMIE,IA,51501,,
89316RBYHLINTER,RUBY HILL MINING CO LLC,INTRSCTION OF HWY 50 & SR278,EUREKA,EUREKA,NV,89316,,
29153CTRPL1355N,CATERPILLAR PRECISION PIN PRODUCTS GROUP,1355 N WISE DR,SUMTER,SUMTER,SC,29153,,
28645RLNCN1713M,AKZO COATINGS INC,1713 MAIN ST NW,LENOIR,CALDWELL,NC,28645,35.930556,81.55
30071KZCTN6369O,FERRO CORP,6369 OLD PEACHTREE RD,PEACHTREE CORNERS,GWINNETT,GA,30071,33.931111,84.231111
31513KZCHMUSHWY,LAWTER INC,1202 E PARKER ST,BAXLEY,APPLING,GA,31513,31.765,82.31
95242SBSTN5852W,SEBASTIANI VINEYARDS INC TURNER ROAD VINTNERS WEST,5852 W TURNER RD,LODI,SAN JOAQUIN,CA,95242,,
78223HWLLH7811S,CALUMET SAN ANTONIO REFINING LLC,7811 S PRESA ST,SAN ANTONIO,BEXAR,TX,78223,29.3475,98.46
44438HWLLNCOUNT,HOWELL IND INC,COUNTY RD 26,MASURY,TRUMBULL,OH,44438,41.210278,80.527222
04009HWLLLRTE11,HOWELL LABORATORIES INC,188 HARRISON RD,BRIDGTON,CUMBERLAND,ME,4009,44.0675,70.702778
27613MJSTC8805I,MAJESTIC MARBLE & GLASS CO,8805 ICE DR,RALEIGH,WAKE,NC,27613,35.9,78.733333
83714MRVCR604E4,MARAVIA CORP,604 E 4TH ST,BOISE,ADA,ID,83714,,
91786SCHMN297ES,SCHEU MFG CO INC,297 E STOWELL ST,UPLAND,SAN BERNARDINO,CA,91786,,
32091SMJSTC100A,CMC JOIST & DECK,14099 SE 44TH AVE,STARKE,BRADFORD,FL,32091,,
47978HMTTR1132N,SEALY COMPONENTS GROUP,1132 N CULLEN ST,RENSSELAER,JASPER,IN,47978,,
85282KMNVR905WE,KELLY-MOORE UNIVERSAL PAINT CO,905 W ALAMEDA DR,TEMPE,MARICOPA,AZ,85282,,
54813WSCNSNORTH,WISCONSIN STRUCTURAL STEEL CO,2950 US HIGHWAY 63,BARRONETT,BARRON,WI,54813,,
54634HLLSBAIRRA,HILLSBORO FARMERS COOPERATIVE WAREHOUSE-AGRONOMY,AIR RAIL RD,HILLSBORO,VERNON,WI,54634,,
78664TYCPR2700O,TYCO PRINTED CIRCUIT GROUP,2700 OAKMONT DR,ROUND ROCK,WILLIAMSON,TX,78664,,
94587TYCPR30000,TTM TECHNOLOGIES INC HAYWARD UNION CITY,30000 EIGENBRODT WAY,UNION CITY,ALAMEDA,CA,94587,,
48184CLMCN3720S,CUL-MAC INDUSTRIES INC,3720 S VENOY RD,WAYNE,WAYNE,MI,48184,42.280556,83.366389
02920CRNST1381C,CRANSTON PRINT WORKS CO  CRANSTON DIV,1381 CRANSTON ST,CRANSTON,PROVIDENCE,RI,2920,41.791667,71.458333
